Brand,Brand Rating,Model,Type,Price ($),CPU Brand,CPU Type,CPU Rating /10,RAM (GB),Ram Type,Hard Drive (GB),SSD (GB),Graphics Brand,Graphics Type,Graphics Rating /10,Ports,Connectivity Rating,Battery Hours,Software,Display Size (inches),Resolution Width (pixels),Resolution Height (pixels),Touchscreen,Depth (inches),Width (inches),Height (inches),Weight (lbs),Warranty,Hyperlink,
Lenovo,8,Ideapad 3,Student,499.99,AMD,Athlon 3150U,9,8,DDR4,1000,0,AMD,Radeon,8,2 x USB 3.0 1 x USB 2.0 HDMI Dual Microphone SD Card Reader,7,6,Windows 10 Home,15.6,1920,1080,false,0.78,14.26,9.78,4.8,1 Year,https://www.staples.ca/products/2974874-en-lenovo-ideapad-3-81w1001hcf-156-inch-notebook-26-ghz-amd-athlon-3150u-1-tb-hdd-8-gb-ddr4-windows-10-home#product_description,
Asus,9,VivoBook L203NA,Student/Work,249.99,Intel,Celeron N3350,8,4,LPDDR3,0,64,Intel,Intel HD,6,2x USB 3.0; 1x USB 3.2 Gen 1 Type-C Micro SD HDMI 3.5mm Combo Audio Jack,6,7,Windows 10 Home,11.6,1366,768,false,0.69,11.3,7.6,2.01,1 Year,https://www.bestbuy.ca/en-ca/product/asus-vivobook-l203na-11-6-laptop-intel-dual-core-celeron-n3350-64gb-emmc-4gb-ram-windows-10-s/14772556?icmp=Recos_3across_tp_sllng_prdcts&referrer=PLP_Reco,
Acer,8,Aspire 3,Student/work,499.99,AMD,Athlon 3050u,6,8,DDR4,1000,0,AMD,Radeon,8,2 x USB 3.1; USB 2.0;HDMI Port;3.5 mm headphone/speaker jack;Ethernet (RJ-45) port,7,7,Windows 10 Home,15.6,1366,768,false,0.78,14.31,9.86,4.19,1 Year,https://www.bestbuy.ca/en-ca/product/acer-aspire-3-15-6-laptop-silver-amd-athlon-3050u-1tb-hdd-8gb-ram-windows-10/14655791,
HP,5,HP 14,Student/Work,349.99,AMD,Athlon 3020e,5,4,DDR4,0,64,AMD,Radeon,8,SuperSpeed USB Type-C 5Gbps;2 SuperSpeed USB Type-A 5Gbps;Headphone/microphone combo;AC Smart pin;HDMI 1.4b,8,6,Windows 10 Home,14,1366,768,false,0.71,12.76,8.86,3.22,1 Year,https://www.bestbuy.ca/en-ca/product/hp-14-laptop-natural-silver-amd-3020e-64gb-emmc-4gb-ram-windows-10-s/14771998,
Acer,8,Chromebook Spin 311,Student,328.90,Intel,Celeron n4020,5,4,LPDDR4,0,32,Intel,Intel UHD Graphics 600,9,2 - USB Type-C ports USB 3.1 DisplayPort over USB Type-C USB Charging & DC-in 2 - USB 3.1 Gen 1 ports,7,10,Chrome OS,11.6,1366,768,true,0.78,11.65,8.11,2.62,30 days,https://www.amazon.ca/gp/product/B086MBQKH2/ref=ask_ql_qh_dp_hza?th=1,
Asus,9,L410MA-SH01-CB 14-inch Notebook,Student/work,349.99,Intel,Celeron n4020,5,4,DDR4,0,64,Intel,Intel UHD Graphics 600,9, 1 x USB 2.0 1 x USB-C HDMI Headphone/Microphone-combo; 1 x USB 3.2 Gen 1 Type-A,6,9,Windows 10 S,14,1366,768,false,0.7,8.5,12.8,2.9,1 Year,https://www.staples.ca/products/2992401-en-asus-l410ma-sh01-cb-14-inch-notebook-11-ghz-intel-celeron-n4020-64-gb-emmc-4-gb-ddr4-windows-10-s,
Lenovo,8,IdeaPad Duet,Student/Work,399.99,MediaTek,P60T,4,4,LPDDR4X,0,128,ARM,ARM G72MP3,4,1 x USB 2.0 Headphone/Mic-Combo / HDMI,5,8,Chrome OS,10.1,1920,1200,true,0.29,9.44,6.29,0.99,1 Year,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-duet-10-1-touchscreen-2-in-1-chromebook-mediatek-helio-p60t-128gb-ssd-4gb-ram/14541985,
Kano,7,Kano PC 11.6,Kids/Student,399.99,Intel,Celeron n4000,4,4,DDR3L,0,32,Intel,UHD Graphics 600,9,1 x 3.5mm Headphone Jack; Built-In Microphone HDMI Port USB-C; 2 x USB 3.0 Micro SD Card Reader,8,10,Windows 10 home,11.6,1366,768,true,8.6,15.1,3.7,5.36,1 Year,https://www.bestbuy.ca/en-ca/product/kano-pc-11-6-touchscreen-2-in-1-laptop-black-intel-celeron-n4000-64gb-emmc-4gb-ram-windows-10-en/14963802,
HP,5,HP 15.6,Student/Work,499.99,AMD,A6-9225,4,8,DDR4,1000,0,AMD,Radeon R4 ,3,2 USB 3.1 Gen 1; 1 USB 2.0; 1 HDMI 1.4b; 1 RJ-45; 1 Headphone/Microphone Combo,8,8,Windows 10 home,15.6,1366,768,false,0.89,14.8,9.69,4.19,1 Year,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-black-amd-a6-9225-processor-1tb-hdd-8gb-ram-windows-10-english-open-box/13986337,
Acer,8,Acer 11.6 Chromebook,Student/Work,349.99,Intel,Celeron n4000,4,4,LPDDR4,0,32,Intel,UHD Graphics 600,9,2x USB Type-C ports  2x USB 3.1 ports 3.5 mm headphone/speaker jack,7,10,Chrome OS,11.6,1366,768,false,0.71,11.65,7.83,2.34,1 Year,https://www.bestbuy.ca/en-ca/product/acer-11-6-chromebook-silver-intel-celeron-n4000-64gb-emmc-4gb-ram-chrome-os/14480619,
Lenovo,8,IdeaPad 3,Work,699.99,Intel,Core i5-1035G1,8,12,DDR4,0,256,Intel,Intel UHD ,6,Two USB 3.0 ports a USB 2.0 port an HDMI port; and a mic/headphone jack,6,8,Windows 10 S,15.6,1366,768,true,0.78,14.26,9.98,4.08,1 Year,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-3-15-6-touchscreen-laptop-grey-intel-core-i5-1035g1-256gb-ssd-12gb-ram-windows-10-s/14716026,
HP,5,"15.6""",Work,649.95,Intel,Core i5-1035G1,8,8,DDR4,0,256,Intel,Intel UHD ,6,1 x USB 3.1 Gen 1 Type-C (Data Transfer Only; 5Gb/s signaling rate); 2 x USB 3.1 Gen 1 Type-A (Data Transfer Only); 1 x HDMI 1.4b; 1 x AC Smart Pin; 1 x Headphone / Microphone Combo,7,10,Windows 10 Home,15.6,1366,768,false,0.71,14.11,9.53,3.73,1 Year,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-silver-intel-core-i5-1035g1-256gb-ssd-8gb-ram-windows-10/13992163,
Asus,9,"Zenbook 14""",Work,749.99,AMD,Ryzen 5 3500u,7,8,DDR4,0,512,AMD,Radeon Vega 8 ,7,1x USB 2.0; 1x USB3.1 Type A (Gen1); 1x USB3.1 Type C (Gen 1),5,9,Windows 10 Home,14,1920,1080,false,0.6,12.7,8.3,3.11,1 Year,https://www.bestbuy.ca/en-ca/product/asus-zenbook-14-laptop-silver-blue-metal-amd-quad-core-r5-3500u-512gb-ssd-8gb-ram-windows-10/13974635,
Lenovo,8,"IdeaPad 3 15.6""",Work,699.99,Intel,Core i3-1005G1,8,8,DDR4,0,256,Intel,UHD Graphics,6,Three USB ports an HDMI out port a SD card reader; and a headphone/mic combo ,7,8,Windows 10 S,15.6,1366,768,true,0.79,14.25,9.96,4.08,1 Year,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-3-15-6-touchscreen-laptop-almond-intel-core-i3-1005g1-256gb-ssd-8gb-ram-windows-10-s/14700364,
HP,5,"15.6""",Work,899.99,Intel,Core i5-1035G1,8,8,DDR4,0,512,Intel,UHD Graphics,6,One USB 3.1 Gen 1 Type C port and two USB 3.1 Gen 1 Type A ports,8,10,Windows 10 Home,15.6,1366,768,false,0.71,14.11,9.53,3.84,1 Year,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-silver-intel-core-i5-1035g1-512gb-ssd-8gb-ram-windows-10/13863133,
HP,5,"15.6""",Work,999.99,Intel,Core i5-1135G7,8,16,DDR4,0,1024,Intel,Iris Xe ,6,SuperSpeed USB Type-C port and two SuperSpeed USB Type-A ports,6,7,Windows 10 Home,15.6,1920,1080,false,0.71,14.11,9.53,3.75,1 Year,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-natural-silver-intel-core-i5-1135g7-1tb-ssd-16gb-ram-windows-10/14960571,
Acer,8,Aspire 5,Work,699.95,Intel,Core i5-1035G1,8,8,DDR4,0,512,Intel,UHD Graphics,6,USB Type-C port; two USB 3.1 ports; USB 2.0 port; HDMI port; and 3.5mm headphone/speaker jack,7,8,Windows 10 Home,15.6,1920,1080,false,0.7,14.29,9.86,3.96,1 Year,https://www.bestbuy.ca/en-ca/product/acer-aspire-5-15-6-laptop-silver-intel-ci5-1035g1-512gb-ssd-8gb-ram-windows-10/14655795,
Asus,9,VivoBook,Work,849.99,Intel,Core i5-10210U,6,8,DDR4,0,512,Intel,UHD Graphics,6,Two USB 2.0 ports; USB 3.1 Type A port; USB 3.1 Type C port; HDMI port; microSD card reader; and headphone-out and audio-in combo jack,8,8,Windows 10 Home,15.6,1920,1080,false,0.7,14.1,9.1,3.99,1 Year,https://www.bestbuy.ca/en-ca/product/asus-vivobook-15-6-laptop-silver-intel-core-i5-10210u-512gb-ssd-8gb-ram-windows-10-english/14470966,
Microsoft,9,Surface Laptop Go,Work,759.99,Intel,Core i5-1035G1,8,4,LPDDR4X,0,64,Intel,UHD Graphics,6,Two USB 3.0 ports; USB-C port; Surface Connect; and an audio jack ,9,13,Windows 10 S,12.45,1536,1024,true,1.93,9.27,12.19,2.45,1 Year,https://www.bestbuy.ca/en-ca/product/microsoft-surface-laptop-go-12-4-touchscreen-laptop-platinum-intel-i5-1035g1-64gb-emmc-4gb-ram-en/14994217,
Dell,8,Inspiron,Work,899.97,Intel,Core i7-1065G7,8,12,DDR4,0,512,Intel,Iris Plus,6,One USB 2.0 Type-A port; two USB 3.1 Gen 1 Type-A ports; one HDMI port; and a 3.5mm headphone/microphone combo port,6,5,Windows 10 Home,15.6,1366,768,true,0.78,14.96,10.16,4.45,1 Year,https://www.bestbuy.ca/en-ca/product/dell-inspiron-15-6-touchscreen-laptop-black-intel-core-i7-1065g7-processor-512gb-ssd-12gb-ram/14950683,
Apple,9,Macbook Air,Professional,1209.99,Intel,i3,4,8,LPDDR4X,0,256,Intel,Iris Plus,5,2 x Thunderbolt 3 (USB-C),6,11,macOS,13.3,2560,1600,false,0.63,11.97,8.36,2.84,1 Year,https://www.bestbuy.ca/en-ca/product/apple-macbook-air-13-3-w-touch-id-2020-space-grey-intel-core-i3-1-1ghz-256gb-ssd-8gb-ram-en/14517648,
Asus,9,ZenBook Flip 14,Professional,1049.00,AMD,Ryzen 7-3700U,10,12,DDR4,0,512,AMD,Radeon RX Vega 10,7,1x USB 2.0; 2x USB 3.1; 1x USB-C; HDMI; Micro SD Card Reader,7,9,Windows 10 Pro,14,1920,1080,true,0.5,12.9,8.89,5.15,30 days,https://www.amazon.ca/ZenBook-Convertible-R7-3700U-Processor-Graphics/dp/B087Z9YKNT/ref=sr_1_1?dchild=1&fst=as%3Aoff&m=A3DWYIK6Y9EEQB&qid=1607723689&refinements=p_6%3AA3DWYIK6Y9EEQB%2Cp_36%3A100000-200000&rnid=12035759011&s=electronics&sr=1-1,
Asus,9,ROG Strix G15,Gaming/Professional,1999.99,Intel,i7-10750H,10,16,DDR4,0,512,Nvidia,RTX 2070,10,1 x Type C USB 3.2 Gen 2 with Display Port; 3x Type A USB 3.2 Gen 1; 1 x HDMI; 1x 3.5mm combo audio jack; 1x RJ45 LAN Jack for LAN insert,8,5,Windows 10 Home,15.6,1920,1080,false,1,14.2,10.8,5.29,1 year,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-g15-15-6-gaming-laptop-intel-i7-10750h-512gb-ssd-16gb-ram-rtx-2070-win-10-english/14583666,
Acer,8,Predator Helios 300,Gaming,1999.99,Intel,i7-10750H,10,16,DDR4,0,1000,Nvidia,RTX 2060,10,USB 3.2 Gen; 2 x USB 3.2 Gen 1; USB Type-C; HDMI 2.0 port with HDCP support; Mini DisplayPort 1.4; 3.5 mm headphone/speaker jack,7,7,Windows 10 Home,15.6,1920,1080,false,0.9,14.31,10.04,5.51,1 year,https://www.bestbuy.ca/en-ca/product/acer-predator-helios-300-15-6-gaming-laptop-intel-ci7-10750h-1tb-ssd-16gb-ram-geforce-rtx-2060/14655788,
Asus,9,ROG Zephyrus,Gaming,1599.99,AMD,Ryzen 7-4800HS,10,16,DDR4,0,512,Nvidia,GTX 1660Ti Super Max Q,9,3 x Type A USB 3.2 Gen 1; 1 x Type C USB 3.2 Gen 2; 1 x HDMI; 1 x Headphone-out & Audio-in Combo Jack; 1 x RJ45 LAN Jack for LAN insert,8,11,Windows 10 Pro,15.6,1920,1080,false,0.77,14.2,9.9,4.61,1 year,https://www.bestbuy.ca/en-ca/product/asus-rog-zephyrus-15-6-gaming-laptop-black-amd-ryzen-7-4800hs-512gb-ssd-16gb-ram-gtx-1660ti-en/14575600,
MSI,9,GP65 Leopard,Gaming/Professional,1559.99,Intel,i7-10750H,10,16,DDR4,0,512,Nvidia,GTX 1660Ti Super Max Q,9,1 x USB 3.2 Gen2 Type C; 2 x USB 3.2 Gen2; 2 x 3.2 Gen1; 1 x HDMI Out;1 x mDP v1.2; Mic-in/Headphone-out Combo,8,4,Windows 10 Home,15.6,1920,1080,false,1.08,14.08,10.57,5.14,1 year,https://www.bestbuy.ca/en-ca/product/msi-gp65-leopard-15-6-gaming-laptop-black-intel-i7-10750h-512gb-ssd-16gb-ram-geforce-gtx-1660-ti-en/14788023,
Asus,9,TUF Fortress Gray,Gaming,1699.99,AMD,Ryzen 9-4900H,10,16,DDR4,0,512,Nvidia,RTX 2060,9,1 x Type A USB 2.0; 1 x Type C USB 3.2 Gen 2; 2 x Type A USB 3.2 Gen 1; 1 x HDMI; 1 x Headphone-out & Audio-in Combo Jack; 1 x RJ45 LAN Jack for LAN Insert,7,5,Windows 10 Home,15.6,1920,1080,false,1,14.1,10.1,5.09,1 year,https://www.bestbuy.ca/en-ca/product/asus-tuf-15-6-gaming-laptop-fortress-grey-amd-ryzen-9-4900h-512gb-ssd-16gb-ram-geforce-rtx-2060/14584170,
Microsoft,9,Surface 3,Professional,1349.99,Intel,Core i5-1035G7,8,8,LPDDR4X,0,128,Intel,Iris Plus 950,5,1 x USB 3.0 Port; 1 x USB-C; 1 x Surface Connect; Headphone/Mic Jack; Surface Connect+,7,12,Windows 10 Home,13.5,2256,1504,true,0.57,12.1,8.8,2.8,1 year,https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-platinum-intel-core-i5-1035g7-128gb-ssd-8gb-ram-english/13949411,
HP,5,Spectre x360,Professional,1599.99,Intel,Core i5-1135G7,9,8,LPDDR4x,0,512,Intel,Iris Xe ,6,USB Power Delivery; DisplayPort; 2 x Thunderbolt 3 USB Type-C; USB Type-A; Headphone/Microphone combo,6,12,Windows 10 Home,13.3,1920,1080,true,0.67,12.08,7.66,2.8,1 year,https://www.bestbuy.ca/en-ca/product/hp-spectre-x360-13-3-touchscreen-2-in-1-laptop-intel-core-i5-1135g7-512gb-ssd-8gb-ram-windows-10/14960573,
Acer,8,Nitro 5,Gaming,1249.99,Intel,Core i5-10300H,8,16,DDR4,0,512,Nvidia,GTX 1650,8,USB 3.2 Gen 2 Featuring Power-off USB Charging; 2 x USB 3.2 Gen 1; USB Type-C; HDMI 2.0; 3.5 mm Headphone/Speaker Jack,8,8,Windows 10 Home,17.3,1920,1080,false,0.98,15.87,11.02,5.95,1 year,https://www.bestbuy.ca/en-ca/product/acer-nitro-5-17-3-gaming-laptop-black-intel-ci5-10300h-512gb-ssd-16gb-ram-nvidia-gtx-1650/14742494